lstat,medv.log
4.98,3.17805383
9.14,3.072693315
4.03,3.546739687
2.94,3.5085559
5.33,3.589059119
5.21,3.356897123
12.43,3.131136911
19.15,3.299533728
29.93,2.803360381
17.1,2.939161922
20.45,2.708050201
13.27,2.939161922
15.71,3.077312261
8.26,3.015534901
10.26,2.901421594
8.47,2.990719732
6.58,3.139832618
14.67,2.862200881
11.69,3.005682604
11.28,2.901421594
21.02,2.610069793
13.83,2.975529566
18.72,2.721295428
19.88,2.674148649
16.3,2.747270914
16.51,2.63188884
14.81,2.809402695
17.28,2.694627181
12.8,2.912350665
11.98,3.044522438
22.6,2.541601993
13.04,2.674148649
27.71,2.58021683
18.35,2.57261223
20.34,2.602689685
9.68,2.939161922
11.41,2.995732274
8.77,3.044522438
10.13,3.206803244
4.32,3.42751469
1.98,3.552486829
4.84,3.280911216
5.81,3.230804396
7.44,3.206803244
9.55,3.054001182
10.21,2.960105096
14.15,2.995732274
18.8,2.809402695
30.81,2.667228207
16.2,2.965273066
13.45,2.980618636
9.43,3.020424886
5.28,3.218875825
8.43,3.152736022
14.8,2.939161922
4.81,3.56671182
5.77,3.206803244
3.95,3.453157121
6.86,3.148453361
9.22,2.975529566
13.15,2.928523524
14.44,2.772588722
6.73,3.100092289
9.5,3.218875825
8.05,3.496507561
4.67,3.157000421
10.24,2.965273066
8.1,3.091042453
13.09,2.856470206
8.79,3.039749159
6.72,3.186352633
9.88,3.077312261
5.52,3.126760536
7.54,3.152736022
6.78,3.18221184
8.94,3.063390922
11.97,2.995732274
10.27,3.034952987
12.34,3.054001182
9.1,3.010620886
5.29,3.33220451
7.22,3.173878459
6.72,3.210843653
7.51,3.131136911
9.62,3.173878459
6.53,3.280911216
12.86,3.113515309
8.44,3.100092289
5.5,3.161246712
5.7,3.356897123
8.81,3.117949906
8.2,3.091042453
8.16,3.131136911
6.21,3.218875825
10.59,3.025291076
6.65,3.346389145
11.34,3.063390922
4.21,3.6558396
3.57,3.779633817
6.19,3.502549876
9.42,3.314186005
7.67,3.277144733
10.63,2.923161581
13.44,2.960105096
12.33,3.000719815
16.47,2.970414466
18.66,2.970414466
14.09,3.015534901
12.27,2.985681938
15.55,2.965273066
13,3.077312261
10.16,3.126760536
16.21,2.93385687
17.09,2.928523524
10.45,2.917770732
15.76,2.90690106
12.04,3.054001182
10.3,2.954910279
15.37,3.015534901
13.61,2.960105096
14.37,3.091042453
14.27,3.010620886
17.93,3.020424886
25.41,2.850706502
17.58,2.93385687
14.81,3.063390922
27.26,2.753660712
17.19,2.785011242
15.39,2.890371758
18.34,2.660259537
12.6,2.954910279
12.26,2.975529566
11.12,3.135494216
15.03,2.912350665
17.31,2.747270914
16.96,2.895911938
16.9,2.856470206
14.59,2.839078464
21.32,2.587764035
18.46,2.879198457
24.16,2.63905733
34.41,2.667228207
26.82,2.595254707
26.42,2.747270914
29.29,2.468099531
27.8,2.624668592
16.65,2.747270914
29.53,2.681021529
28.32,2.879198457
21.45,2.734367509
14.1,3.068052935
13.28,2.975529566
12.12,2.727852828
15.79,2.965273066
15.12,2.833213344
15.02,2.747270914
16.14,2.57261223
4.59,3.7208625
6.43,3.19047635
7.39,3.148453361
5.5,3.295836866
11.64,3.122364924
9.81,3.218875825
12.14,3.169685581
11.1,3.169685581
11.32,3.104586678
14.43,2.856470206
12.03,2.949688335
14.69,3.139832618
9.04,3.161246712
9.64,3.117949906
5.33,3.380994674
10.11,3.144152279
6.29,3.202746443
6.92,3.39785848
5.04,3.616308761
7.56,3.683866912
9.45,3.589059119
4.82,3.634951112
5.68,3.481240089
13.98,3.27336401
13.15,3.387774361
6.68,3.465735903
4.56,3.394508394
5.39,3.552486829
5.1,3.610917913
4.69,3.417726684
2.87,3.594568775
5.03,3.437207819
4.38,3.370738174
4.08,3.505557397
8.61,3.411147713
6.62,3.543853682
4.56,3.552486829
4.45,3.493472658
7.43,3.18221184
3.11,3.744787086
3.81,3.881563798
10.87,3.117949906
10.97,3.194583132
18.06,3.113515309
14.66,3.194583132
23.09,2.995732274
17.27,3.077312261
23.98,2.960105096
16.03,3.109060959
9.38,3.335769576
29.55,3.165475048
9.47,3.218875825
13.51,3.148453361
9.69,3.356897123
17.92,3.068052935
10.5,3.135494216
9.71,3.284663565
21.46,3.077312261
9.93,3.314186005
7.6,3.404525172
4.14,3.802208139
3.13,3.62700405
6.36,3.453157121
3.92,3.843744165
3.76,3.449987546
11.65,3.19047635
5.25,3.456316681
2.47,3.730501129
3.95,3.877431561
8.05,3.36729583
10.88,3.17805383
9.54,3.222867846
4.73,3.449987546
6.36,3.165475048
7.37,3.148453361
11.38,3.091042453
12.4,3.000719815
11.22,3.100092289
5.19,3.165475048
12.5,2.867898902
18.46,2.917770732
9.16,3.19047635
10.15,3.020424886
9.52,3.198673118
6.56,3.265759411
5.9,3.194583132
3.59,3.210843653
3.53,3.387774361
3.54,3.756538103
6.57,3.086486637
9.25,3.039749159
3.11,3.784189634
7.79,3.583518938
6.9,3.404525172
9.59,3.520460802
7.26,3.763522997
5.91,3.887730313
11.25,3.433987204
8.1,3.597312261
10.45,3.126760536
14.79,3.424262655
3.16,3.772760938
13.65,3.0301337
13,3.04927304
6.59,3.226843995
7.73,3.194583132
6.58,3.561046083
3.53,3.478158423
2.98,3.465735903
6.05,3.502549876
4.16,3.499533282
7.19,3.370738174
4.85,3.55820113
3.76,3.815512105
4.59,3.56671182
3.01,3.828641396
7.85,3.471966453
8.23,3.091042453
12.93,3.000719815
7.14,3.144152279
7.6,3.104586678
9.51,3.210843653
3.33,3.349904087
3.56,3.618993327
4.7,3.328626689
8.58,3.173878459
10.4,3.077312261
6.27,3.353406718
7.39,3.299533728
15.84,3.010620886
4.97,3.113515309
4.74,3.36729583
6.07,3.210843653
9.5,3.091042453
8.67,3.27336401
4.86,3.499533282
6.93,3.586292865
8.93,3.346389145
6.47,3.5085559
7.53,3.339321978
4.54,3.126760536
9.97,3.010620886
12.64,2.778819272
5.98,3.095577609
11.72,2.965273066
7.9,3.072693315
9.28,3.169685581
11.5,2.785011242
18.33,2.879198457
15.94,2.985681938
10.36,3.139832618
12.73,3.044522438
7.2,3.169685581
6.87,3.139832618
7.7,3.015534901
11.74,2.917770732
6.12,3.218875825
5.08,3.202746443
6.15,3.135494216
12.79,3.100092289
9.97,2.960105096
7.34,3.117949906
9.09,2.985681938
12.43,2.839078464
7.83,2.965273066
5.68,3.100092289
6.75,3.0301337
8.01,3.04927304
9.8,2.970414466
10.56,2.917770732
8.51,3.025291076
9.74,2.944438979
9.29,2.928523524
5.49,3.487375078
8.65,2.803360381
7.18,3.173878459
4.61,3.440418095
10.53,2.862200881
12.67,2.844909384
6.36,3.139832618
5.99,3.198673118
5.89,3.280911216
5.98,3.131136911
5.49,3.18221184
7.79,2.923161581
4.5,3.404525172
8.05,2.901421594
5.57,3.025291076
17.6,2.879198457
13.27,3.077312261
11.48,3.122364924
12.67,3.117949906
7.79,3.218875825
14.19,2.990719732
10.19,3.034952987
14.64,2.821378886
5.29,3.086486637
7.12,3.314186005
14,3.086486637
13.33,3.139832618
34.77,2.624668592
37.97,2.624668592
13.44,2.708050201
23.24,2.63188884
21.24,2.587764035
23.69,2.57261223
21.78,2.32238772
17.21,2.341805806
21.08,2.388762789
23.6,2.424802726
24.56,2.509599262
30.63,2.174751721
30.81,1.974081026
28.28,2.351375257
31.99,2.00148
30.62,2.32238772
20.85,2.442347035
17.11,2.714694744
18.76,3.144152279
25.68,2.272125886
15.17,2.624668592
16.35,2.541601993
17.12,2.57261223
19.37,2.525728644
19.92,2.140066163
30.59,1.609437912
29.97,1.840549633
26.77,1.722766598
20.32,1.974081026
20.31,2.493205453
19.77,2.116255515
27.38,2.140066163
22.98,1.609437912
23.34,2.4765384
12.13,3.328626689
26.4,2.844909384
19.78,3.314186005
10.11,2.708050201
21.22,2.844909384
34.37,2.884800713
20.08,2.791165108
36.98,1.945910149
29.05,1.974081026
25.79,2.014903021
26.64,2.341805806
20.62,2.174751721
22.74,2.128231706
15.02,2.815408719
15.7,2.653241965
14.1,3.034952987
23.29,2.595254707
17.16,2.459588842
24.39,2.116255515
15.69,2.32238772
14.52,2.388762789
21.52,2.397895273
24.08,2.251291799
17.64,2.674148649
19.69,2.646174797
12.03,2.778819272
16.22,2.660259537
15.17,2.459588842
23.27,2.595254707
18.05,2.261763098
26.45,2.163323026
34.02,2.128231706
22.88,2.549445171
22.11,2.351375257
19.52,2.839078464
16.59,2.912350665
18.85,2.734367509
23.79,2.379546134
23.98,2.468099531
17.79,2.701361213
16.44,2.533696814
18.13,2.646174797
19.31,2.564949357
17.44,2.595254707
17.73,2.721295428
17.27,2.778819272
16.74,2.879198457
18.71,2.701361213
18.13,2.646174797
19.01,2.541601993
16.94,2.602689685
16.23,2.701361213
14.7,2.995732274
16.42,2.797281335
14.65,2.87356464
13.99,2.970414466
10.29,3.005682604
13.22,3.063390922
14.13,2.990719732
17.15,2.944438979
21.32,2.949688335
18.13,2.949688335
14.76,3.000719815
16.29,2.990719732
12.87,2.975529566
14.36,3.144152279
11.66,3.394508394
18.14,2.624668592
24.1,2.587764035
18.68,2.815408719
24.91,2.48490665
18.03,2.681021529
13.11,3.063390922
10.74,3.135494216
7.74,3.165475048
7.01,3.218875825
10.42,3.08190997
13.34,3.025291076
10.58,3.054001182
14.98,2.949688335
11.45,3.025291076
18.06,2.721295428
23.97,1.945910149
29.68,2.091864062
18.07,2.610069793
13.35,3.000719815
12.01,3.08190997
13.59,3.198673118
17.6,3.139832618
21.14,2.980618636
14.1,2.90690106
12.92,3.054001182
15.1,2.862200881
14.33,2.821378886
9.67,3.109060959
9.08,3.025291076
5.64,3.173878459
6.48,3.091042453
7.88,2.4765384
